Date,Price
1968-01,36.000
1968-02,36.000
1968-03,37.000
1968-04,37.860
1968-05,41.000
1968-06,41.000
1968-07,39.460
1968-08,39.000
1968-09,40.180
1968-10,39.210
1968-11,39.780
1968-12,41.080
1969-01,42.000
1969-02,43.000
1969-03,43.000
1969-04,43.000
1969-05,43.000
1969-06,41.000
1969-07,42.000
1969-08,41.000
1969-09,41.000
1969-10,40.000
1969-11,37.000
1969-12,35.000
1970-01,34.940
1970-02,34.990
1970-03,35.090
1970-04,35.620
1970-05,36.000
1970-06,35.000
1970-07,35.000
1970-08,35.000
1970-09,36.000
1970-10,38.000
1970-11,37.000
1970-12,37.000
1971-01,38.000
1971-02,39.000
1971-03,39.000
1971-04,39.000
1971-05,41.000
1971-06,40.000
1971-07,41.000
1971-08,43.000
1971-09,42.030
1971-10,43.000
1971-11,43.000
1971-12,43.000
1972-01,46.000
1972-02,48.000
1972-03,48.330
1972-04,49.000
1972-05,55.000
1972-06,62.090
1972-07,66.000
1972-08,67.000
1972-09,65.000
1972-10,65.000
1972-11,63.000
1972-12,64.000
1973-01,65.000
1973-02,74.200
1973-03,84.000
1973-04,91.000
1973-05,101.960
1973-06,120.000
1973-07,120.000
1973-08,107.000
1973-09,103.000
1973-10,100.000
1973-11,94.920
1973-12,107.000
1974-01,129.190
1974-02,150.000
1974-03,168.000
1974-04,172.000
1974-05,163.000
1974-06,154.100
1974-07,143.000
1974-08,155.000
1974-09,152.000
1974-10,159.000
1974-11,182.000
1974-12,184.000
1975-01,176.000
1975-02,179.600
1975-03,178.000
1975-04,170.000
1975-05,167.000
1975-06,164.240
1975-07,165.000
1975-08,163.000
1975-09,144.000
1975-10,143.000
1975-11,142.000
1975-12,139.000
1976-01,131.050
1976-02,131.000
1976-03,133.000
1976-04,128.000
1976-05,127.000
1976-06,126.000
1976-07,118.000
1976-08,109.930
1976-09,114.000
1976-10,116.000
1976-11,130.000
1976-12,134.000
1977-01,132.000
1977-02,136.000
1977-03,148.000
1977-04,149.000
1977-05,147.000
1977-06,141.000
1977-07,143.000
1977-08,145.000
1977-09,149.530
1977-10,159.000
1977-11,162.000
1977-12,160.000
1978-01,173.000
1978-02,178.000
1978-03,184.000
1978-04,175.280
1978-05,176.310
1978-06,184.000
1978-07,189.000
1978-08,206.000
1978-09,212.080
1978-10,227.000
1978-11,206.000
1978-12,207.850
1979-01,227.000
1979-02,246.000
1979-03,242.000
1979-04,239.110
1979-05,258.000
1979-06,279.000
1979-07,295.000
1979-08,301.000
1979-09,355.000
1979-10,392.000
1979-11,391.990
1979-12,455.000
1980-01,675.310
1980-02,665.000
1980-03,554.000
1980-04,517.000
1980-05,513.800
1980-06,601.000
1980-07,643.270
1980-08,627.000
1980-09,674.000
1980-10,661.000
1980-11,625.000
1980-12,538.000
1981-01,557.390
1981-02,499.760
1981-03,499.000
1981-04,495.800
1981-05,479.700
1981-06,461.090
1981-07,409.000
1981-08,410.000
1981-09,444.000
1981-10,438.000
1981-11,413.000
1981-12,410.000
1982-01,384.000
1982-02,374.000
1982-03,330.000
1982-04,350.000
1982-05,334.000
1982-06,314.980
1982-07,338.970
1982-08,364.230
1982-09,437.000
1982-10,422.000
1982-11,415.000
1982-12,445.000
1983-01,481.000
1983-02,491.000
1983-03,420.000
1983-04,433.000
1983-05,438.000
1983-06,413.000
1983-07,403.000
1983-08,416.000
1983-09,412.000
1983-10,394.000
1983-11,382.000
1983-12,388.000
1984-01,370.890
1984-02,386.000
1984-03,394.000
1984-04,381.000
1984-05,377.000
1984-06,378.000
1984-07,347.710
1984-08,348.000
1984-09,340.000
1984-10,341.000
1984-11,342.000
1984-12,319.540
1985-01,302.790
1985-02,299.000
1985-03,314.000
1985-04,327.000
1985-05,316.000
1985-06,317.000
1985-07,317.000
1985-08,330.000
1985-09,323.000
1985-10,326.000
1985-11,322.000
1985-12,322.000
1986-01,347.000
1986-02,339.000
1986-03,346.000
1986-04,340.000
1986-05,342.000
1986-06,343.000
1986-07,348.000
1986-08,376.660
1986-09,418.000
1986-10,423.510
1986-11,398.000
1986-12,391.000
1987-01,408.260
1987-02,401.000
1987-03,408.910
1987-04,438.000
1987-05,460.000
1987-06,450.000
1987-07,451.000
1987-08,461.150
1987-09,460.000
1987-10,465.000
1987-11,468.000
1987-12,486.000
1988-01,477.000
1988-02,442.070
1988-03,444.000
1988-04,452.000
1988-05,451.000
1988-06,451.000
1988-07,438.000
1988-08,431.280
1988-09,413.000
1988-10,407.000
1988-11,420.000
1988-12,419.000
1989-01,404.000
1989-02,388.000
1989-03,390.000
1989-04,384.000
1989-05,371.000
1989-06,368.000
1989-07,375.000
1989-08,365.000
1989-09,362.000
1989-10,367.000
1989-11,394.000
1989-12,409.390
1990-01,410.000
