scenario,horizon_y,P10,P25,P50,P75,P90,prob_below_today_%,median_CAGR_%
"Bear  (-4%/yr, mean-reverts)",1,3204.7635041764242,3531.0893915133806,3931.9996212834058,4392.601141717504,4855.1049913604875,62.71,-5.253021173893835
"Bear  (-4%/yr, mean-reverts)",2,2776.410820413206,3195.078909857635,3730.511203598797,4351.085467881645,5002.5199006434395,67.82000000000001,-5.1886946449442135
"Bear  (-4%/yr, mean-reverts)",3,2478.943774763961,2927.0002287971693,3541.7124782806245,4270.186070076088,5037.7913113726045,71.50999999999999,-5.146127015807633
"Bear  (-4%/yr, mean-reverts)",4,2226.152461239715,2702.0414171874418,3353.004337131435,4172.714292235862,5119.8806139339,74.45,-5.191668286228435
"Bear  (-4%/yr, mean-reverts)",5,1989.976446543879,2468.9442845313706,3183.2519788260047,4100.387408291773,5065.711256379232,76.07000000000001,-5.165887506830524
"Bear  (-4%/yr, mean-reverts)",10,1261.091055612089,1728.6085772045067,2439.4117809635754,3446.670208952478,4691.0061042975485,85.04,-5.174814268410499
Base  (+3%/yr ~ inflation),1,3420.7442722291676,3781.568471884837,4221.04638705057,4704.665554823701,5195.4640102587655,45.93,1.711961133748674
Base  (+3%/yr ~ inflation),2,3195.4461487782414,3673.5817558020935,4310.075036087162,5013.634750212716,5775.0661817291175,43.8,1.9103673750776151
Base  (+3%/yr ~ inflation),3,3049.827186789639,3622.831018150236,4351.818008625403,5254.648060577085,6237.380501233018,43.0,1.5954385704752827
Base  (+3%/yr ~ inflation),4,2938.888259252292,3586.091898988917,4451.318164218243,5601.411484967344,6806.982218886126,41.33,1.7677411861656278
Base  (+3%/yr ~ inflation),5,2847.0640362542727,3558.0239021742586,4517.195117358382,5774.483482095776,7211.395432739737,40.56,1.7101162439593809
Base  (+3%/yr ~ inflation),10,2560.4142496320906,3478.8002017309936,4887.919566903423,6922.612673580935,9404.394132285375,36.65,1.6500497212202037
Bull  (+8%/yr momentum holds),1,3618.4043626810612,4002.4466405123444,4449.839743797827,4970.863523104898,5460.091548586855,33.0,7.225054067417536
Bull  (+8%/yr momentum holds),2,3545.6804158558643,4076.378598277294,4755.5578303718885,5542.83715872012,6369.254142417927,27.63,7.047538481144078
Bull  (+8%/yr momentum holds),3,3535.4640347129543,4184.960316126985,5072.742300050422,6118.746058629884,7263.891336722014,24.12,6.921465130149063
Bull  (+8%/yr momentum holds),4,3571.805381001756,4331.242544386349,5405.48557442492,6692.208913408176,8149.705388543864,21.0,6.830842650080449
Bull  (+8%/yr momentum holds),5,3627.910941252185,4517.217595379657,5810.259664925998,7411.07254012767,9223.322592896406,18.14,6.961993632176422
Bull  (+8%/yr momentum holds),10,4143.415066347296,5701.576715814572,8118.847417886085,11450.593095572585,15532.595989890868,10.059999999999999,6.941095401879349
